create_char_title	Create a New Character
msg.pet.status_hunger4	
msg.pet.status_hunger5	
msg.pet.status_life1	
msg.pet.status_life2	
msg.pet.status_life3	
msg.pet.status_life4	
msg.pet.status_life5	
msg.pet.status_life6	
msg.pet.stop_other_collect	Disallow others from gathering from this pet.
msg.pet.stopped_keeper	{0} has stopped protecting the Personal Shop
msg.pet.summon_status_title	Message
msg.pet.summon_timeout_warning	{0}'s summoning time has {1} min. left
msg.pet.summoned_msg	
msg.pet.support_ai_on	You have ordered to help out during battles.
msg.pet.time_limit	You have used up all the summoning time of {0}.
msg.pet.time_remain_msg	{0}'s summoning time has {1} min. left
msg.pet.unable_give_item	Unable to give {0}
msg.pet_pvp.begin	The battle begins!
msg.pet_pvp.loser	{0} lost in the battle.
msg.pet_pvp.loser_desc	{0}{이} lost in the battle.
msg.pet_pvp.start	The battle will now begin!
msg.pet_pvp.winner	{0}  won the battle!
msg.pet_pvp.winner_desc	{0}{이} won the battle!
msg.pet_timeout_unsummon	The summoning will be canceled due to lack of remaining summon time.
msg.petcard_help	To create a new pet, click 'New Pet',\nand to have your animal character go through rebirth, click 'Rebirth'.
msg.playtime_almost_out_notice	Today's allowed playing time is almost over.
msg.playtime_out_notice	Today's allowed play time is over.
msg.ps_shop.opened	A shop has been created.\nBeware that if you are more than 5 yards away, the shop will close.\nIf you wish to venture out while keeping it open, summon a pet to guard the shop.
msg.ps_shop.opened2	A shop has been created.\nBeware that if you are more than 5 yards away, the shop will close.\nIf you wish to venture out while keeping it open, summon a pet or Brownie to guard the shop.
msg.ps_shop.set_title	Enter the name of your Personal Shop.
msg.ps_shop.set_value	Please set the prices for items.
msg.ps_shop.unable_pet	Animal characters cannot open Personal Shop.
msg.pvp_arena_life_recovered	{0} {1} Recovery
msg.pvp_arena_mana_recoverd	{0} {1} Recovery
msg.pvp_arena_round_end_alive	The round has ended.
msg.pvp_arena_round_end_died	The round has ended.
msg.pvp_arena_stamina_recovered	{0} {1} Recovery
msg.pvp_arena_wound_recovered	Wound {0} Recovery
msg.quest_almost_expired	Time limit is almost over.
msg.quest_complete	[Complete]
msg.quest_complete2	[Complete]
msg.quest_complete_scroll	Complete
msg.quest_completed	Homework\n{0} is Complete!\nPlease report to {1}.
msg.quest_expired	Expired
msg.quest_expired2	Expired
msg.quest_expired_already	Expired
msg.quest_objective_completed	Quest objectives for\n{0} complete.
msg.quest_received	Received the [{0}] quest.
msg.quest_remain_time_day	Complete in {0} day(s)
msg.quest_remain_time_day_hour	Complete in {0} day(s), {1} hour(s)
msg.quest_remain_time_hour	Complete in {0} hour(s)
msg.quest_remove_scroll	Delete Mission
msg.quest_scroll_result	Mission Reward
msg.quest_scroll_time_day	Complete within {0} day(s)
msg.quest_scroll_time_day_hour	Complete within {0} day(s), {1} hour(s)
msg.quest_scroll_time_expiretime	Time Limit:
msg.quest_scroll_time_hour	Complete wihin {0} hour(s)
msg.quest_scroll_time_veryshort	Very Short
msg.remain_playtime_notice_hour	Remaining play time for today is {0} hour(s).
msg.remain_playtime_notice_hour_minute	Remaining play time for today is {0} hour(s), {1} minute(s).
msg.remain_playtime_notice_minute	Remaining play time for today is {0} minute(s).
msg.score_composer	Composer: {0}
msg.score_level	Difficulty:
msg.score_level_other	Grade {0}
msg.score_level_training	Drawing
msg.score_title	Name: {0}
msg.scroll_durability	Durability {0}%
msg.scroll_remain_uses	Remaining Use Count {0}
msg.server_select_failed_no_authority	You do not have access rights to the selected server.
msg.service_expire_bag	Your Extra Storage session has expired, and all your open bags have been locked.\nPlease use 'Empty Bag' command to retrieve the items in the bag.
msg.shutdown_alarm	You will logout automatically after {0} second(s).
msg.shutdown_alarm_title	Notice
msg.skill.another_skill_using	Another skill is already in use.
msg.skill_insufficent_ability_info	* You do not have enough AP (Ability Points) to level up. *\n\nAP is obtained when a character levels up.\nA character's EXP increases automatically when you train each skill, \nso AP can be obtained by training other skills or through quests.\nYou also get AP when a character gets 1 year older,\nso spending time is also a good way.\nRequired AP: {0} AP\nCurrent AP: {1} AP
msg.skill_know	You have gained knowledge about the {0} skill.
msg.stone	You have been petrified.
msg.stone_release	You have snapped out of petrification.
msg.stone_skill	You have been temporarily petrified.
msg.stone_skill_end	You have been unpetrified.
msg.title_add	You have acquired the '{0}' title.
msg.title_know	You have gained knowledge about the {0} title.
msg.title_removed	Title has been removed.
msg.title_use	Now using '{0}' title.
msg.toofar_to_talk	Target is too far away to talk.
msg.tooltip.house_bidding	Auction in progress
msg.tooltip.house_empty	Empty House
msg.tooltip.house_owner	{0}'s house
msg.tooltip.item_repair_cost_down	Service fee - {0}%
msg.tooltip.item_repair_cost_up	Service fee + {0}%
msg.tooltip.no_enchant_level_limit	Enchant available regardless of the rank limit
msg.tooltip.poison_durability	Poison Durability : {0}%
msg.tooltip.poison_immune	Poison Immunity : {0}%
msg.tooltip.posion_attackrate	Poison Attack : {0}%
msg.tooltip.wedding	{0} and {1}'s Wedding
msg.trade_canceled	Trade has been canceled.
msg.trade_success	Trade was successful.
msg.ui_load_failed	Failed to load the user interface.
msg.ui_loading	Loading user interface.
msg.upgrade	Upgrade {0}/{1}
msg.use_item.need_skill	You need to be able to use {1} skill in order to use {0}.
msg.use_item.pet_cannot_use_agepotion	This item is not available to animal characters.
msg.use_item.title_use_agepotion	Notice
msg.use_item.use_agepotion_msg	'Your character will age by one year.  \nDo you wish to use this item?
msg.use_item_riding_fail	This item cannot be used at this time.
msg.valentine_cancel	Cancel
msg.valentine_info	On Valentine's Day, you can send a piece of your heart by giving chocolate to your loved one.\nWould you like to use the chocolate delivery service?\n(If you just want to eat the chocolate, select 'No')
msg.valentine_info_title	Send Chocolate
msg.valentine_no	No
msg.valentine_ok	Yes
msg.valentine_receiver_requiring	Enter the recipient's name and a message
msg.warn_unable_untrain_skill	This skill cannot be untrained.\nDo you wish to level this skill up?
msg.warp_moonstone_tooltip	<color=0>Use a piece of Moon Stone to\ntransport yourself to the spot where you'd first found it. \nTransporting to : [<color=3>{0}<color=0>]
msg.warp_scroll_tooltip	<color=0>Using this item will teleport you to the designated location.\nDestination: [<color=3>{0}<color=0>]
msg.whiteday_info	On Valentine's Day, you can send a piece of your heart by giving chocolate to your loved one.\nWould you like to use the chocolate delivery service?\n(If you just want to eat the chocolate, select 'No')
msg.whiteday_info_title	Send Chocolate\n
msg.xmas_info	크리스마스에는 케이크에 자신의 마음을 담아 보낼 수 있습니다.\n케이크 배달 서비스를 이용하시겠습니까?\n(그냥 먹고 싶으면 아니오를 선택하세요
msg.xmas_info_title	Send Cake
oasischatsystem.1	You have ordered the pet to wait for command during battle.
oasisrulesystem.1	Using \"{0}\" from the Pet AI.
oasisrulesystem.2	Failed to use \"{0}\" from the Pet AI.
oasisrulesystem.3	Failed to use \"{0}\" from the Pet AI.
oasisrulesystem.4	Using \"{0}\" from the Pet AI.
pleione.4	\\Mabinogi\\Pet AI
pleione.5	\\Mabinogi\\Settings
pleione.6	\\Mabinogi\\Video
pleione.7	\\Mabinogi\\Visual Chat
pleioneaccount.0	{0}Time has expired.  Please take a break.
pleioneaccount.1	{0}Time has expired.
pleioneaccount.2	건전한 인터넷문화 정착을 위해 넥슨 회원가입시 반드시 본인의 주민등록번호를 입력해주세요.
pleioneaccount.3	본 게임은 12세 이용가입니다.
pleioneaccount.4	안전한 계정관리를 위해 주기적으로 게임 비밀번호를 변경하시기 바랍니다.
pleioneaccount.5	Please do not share your personal information with others, including your ID and PW. 
pleioneaccountmsg.1	Another animal has already been summoned.
pleioneaccountmsg.2	Your Mabinogi Premium Pack has {0} hour(s) and {1} minute(s) left. 
pleioneaccountmsg.3	Your Mabinogi Premium Pack has {0} hour(s) left.
pleioneaccountmsg.4	Your Mabinogi Premium Pack has {0} minute(s) left.
pleioneaccountmsg.5	Your Mabinogi Premium Pack is about to expire.
pleioneaccountmsg.6	Your Mabinogi Premium Pack has expired.
pleionecontrollercharactercmd.1	Would you like to give the performer an item?
pleionecontrollercharactercmd.2	The animal character is not present.
pleionecontrollercharactercmd.3	It seems too small for me.
pleionecontrollercharactercmd.4	The sled might break if you ride it here.
pleionecontrollercharactercmd.5	You can't ride the sled because there are obstacles near your pet.
pleionecontrollercharactercmd.6	You can't use this skill right now.
pleionecontrollercharactercmd.7	I can’t use a paddle outside the raft.
pleionecontrollercharactercmd.8	I can’t use a paddle that belongs to a different raft.
pleionecontrollercharactercmd.9	Do you wish to dismount from the hot air balloon?
pleionecontrollercharactercmd.10	Do you wish to dismount from the hot air balloon?
pleionecontrollercharactercmd.11	You cannot mount a character while it is gesturing.
pleionecontrollercharactercmd.12	You can't use another skill while preparing for the Final Shot.
pleionecontrollercharactercmd.13	You can only use long range attacks while using Final Shot.
pleionecontrollercharactercmd.14	You can't use another skill while preparing for the Wind Guard.
pleionecontrollercharactercmd.15	You can only use Taunt while Wind Guard is activated.
pleionecontrollercharactercmd.16	Cannot mount on its head while unconscious.
pleionecontrollercharactercmd.17	You can only use Taunt and Windmill while Wind Guard is activated.
pleionecontrollercharactercmd.18	Average Firewood
pleionecontrollercharactercmd.19	Fine Firewood
pleionecontrollercharactercmd.20	Finest Firewood
pleionecontrollercharactercmd.21	Firewood
pleionecontrollercharactercmd.22	Do you wish to use the campfire made with {0}\nto burn {a/an} {1}?\nYou'll be able to obtain a small amount of EXP and an Enchant Scroll or Magic Powder as a reward.
pleionecontrollercharactercmd.23	Do you wish to use the campfire made with {0}\nto burn {a/an} {1}?\nYou'll be able to obtain a small amount of EXP an an item as a reward.\n In order to extract an Enchant, you'll need a Mana Herb and a Holy Water of Lymilark.
pleionecontrollercharactercmd.24	Do you wish to use the campfire made with {0}\nto burn {a/an} {1}?\nYou'll be able to obtain a small amount of EXP an an item as a reward.
pleionecontrollercharactercmd.25	Do you wish to use the campfire made with {0}\nto burn {a/an} {1}?\nYou'll be able to obtain a small amount of EXP an an item as a reward.\n In order to extract an Enchant, you'll need a Mana Herb and a Holy Water of Lymilark.
pleionecontrollercharactercmd.26	This item cannot be picked up again. Would you like to continue?
pleionecontrollercharacteretc.0	{0} is keeping an unidentified enemy at bay.\nYou must get off the horse in order to move.
pleionecontrollercharacterprocess.1	Pet command failed.
pleionecontrollercharacterprocess.2	Seems like {0} is distracted and didn't hear your command.
pleionegameguard.1	A keylogger hacking tool has been discovered.
pleionegameguard.2	GameGuard is currently running. Please try again after rebooting your system.
pleionegameguard.3	There are multiple instances of the game or GameGuard is already running. Please try again after exiting the game.
pleionegameguard.4	A GameGuard initialization error has occurred. Run again after rebooting your system or close any conflicting applications and try again.
pleionegameguard.5	A GameGuard file is missing or has been tampered with. Please install GameGuard setup files.
pleionegameguard.6	Some Windows files have been corrupted. Please reinstall Internet Explorer.
pleionegameguard.7	Failed to execute GameGuard. Please reinstall GameGuard setup files.
pleionegameguard.8	An illegal program has been detected. Close any unnecessary applications and try again.
pleionegameguard.9	GameGuard update has been cancelled. If you cannot log in, configure your Internet and personal firewall settings.
pleionegameguard.10	Connection failed due to virus or spyware. Download the latest antivirus application and run a total scan on your computer.
pleionegameguard.11	A GameGuard initialization error has occurred or it's an older version file of GameGuard. Please reinstall GameGuard setup files and try again.
pleionegameguard.12	An .ini file is missing or has been tampered with. You can fix this issue by installing GameGuard setup files.
pleionegameguard.13	An npgmup.des initialization error has occurred. Delete the GameGuard folder and try again.
pleionegameguard.14	Failed to connect to the GameGuard update server. Try again later or configure your personal firewall (if applicable).
pleionegameguard.15	GameGuard update was not completed. Temporarily disable any antivirus applications and try again or configure the settings using PC Manager program.
pleionegameguard.16	Failed to load virus and hacking tool scanning modules. There may be not be enough memory or it may be infected by viruses.
pleionegameguard.17	GameGuard encountered an error during execution. Go to the GameGuard folder and send *.erl files to Game1@inca.co.kr.
pleionegameguard.18	You do not have Administrator rights. Administrator rights are needed to run the program for the first time.
pleionegameguard.19	The nProtect KeyCrypt driver version is incorrect. Please reboot your system and try again.
pleionegameguard.20	Windows XP Compatibility mode is active. The Compatibility mode has been removed from the present program. Please run the program again.
pleionegameguard.21	An unauthorized program has been detected. Please capture this screen and report it along with the Error Reporting Assistant.\n Error Number: {0}
pleionegameguard.22	GameGuard has encountered an error. Please capture this screen and report it along with the Error Reporting Assistant.\n Error Number: {0}
pleionegameguard.23	Warning
pleionegameguard.24	An unregistered error has occurred. Please capture this screen and report it along with the Error Reporting Assistant.\n Error Number: {0}
pleionegameguard.25	Failed to load keyboard protection module.
pleionegameguard.26	GameGuard initialization error : {0}
pleionegameguard.27	A Speed Hack has been detected on your computer.\nPlease report this by submitting a ticket through\nMabinogi.nexon.net>Support>Customer Support.
pleionegameguard.28	A game hack has been detected on your computer : {0}\nPlease report this by submitting a ticket through\nMabinogi.nexon.net>Support>Customer Support.
pleionegameguard.29	The game or the GameGuard has been compromised.
pleioneglobalconsolekeyboard.1	You may not designate ESC, F1-F12, TAB, Enter, and other system control keys as hotkey's.
pleioneglobalconsolekeyboard.2	(개발모드전용) 캡션, 프랍이름, 아이템이름을 숨김/해제합니다.
pleioneglobalconsolekeyboard.3	Activates the option of minimizing other characters.
pleioneglobalconsolekeyboard.4	Turns off the option of minimizing other characters.
pleionehotkeymgr.1	(Hotkey '{0}')
pleionehotkeytext.1	Use the skill #1 on the skill window
pleionehotkeytext.2	Use the skill #2 on the skill window
pleionehotkeytext.3	Use the skill #3 on the skill window
pleionehotkeytext.4	Use the skill #4 on the skill window
pleionehotkeytext.5	Use the skill #5 on the skill window
pleionehotkeytext.6	Use the skill #6 on the skill window
pleionehotkeytext.7	Use the skill #7 on the skill window
pleionehotkeytext.8	Use the skill #8 on the skill window
pleionehotkeytext.9	Use the skill #9 on the skill window
pleionehotkeytext.10	Switch to Skill Window #1
pleionehotkeytext.11	Switch to Skill Window #2
pleionehotkeytext.12	Switch to Skill Window #3
pleionehotkeytext.13	Switch to Skill Window #4
pleionehotkeytext.14	Switch to Skill Window #5
pleionehotkeytext.15	Emoticon Play #1
pleionehotkeytext.16	Emoticon Play #2
pleionehotkeytext.17	Emoticon Play #3
pleionehotkeytext.18	Emoticon Play #4
pleionehotkeytext.19	Emoticon Play #5
pleionehotkeytext.20	Emoticon Play #6
pleionehotkeytext.21	Emoticon Play #7
pleionehotkeytext.22	Emoticon Play #8
pleionehotkeytext.23	Emoticon Play #9
pleionehotkeytext.24	Emoticon Play #10
pleionehotkeytext.25	Cancel Skill
pleionehotkeytext.26	Quest Window
pleionehotkeytext.27	Change Weapon Set
pleionehotkeytext.28	Open/Close Helmet
pleionehotkeytext.29	Mount/Dismount
pleionehotkeytext.30	Pet Window
pleionehotkeytext.31	Inventory Window
pleionehotkeytext.32	Open/Hide equipment tab on the Item Inventory
pleionehotkeytext.33	Clock Window
pleionehotkeytext.34	Party Window
pleionehotkeytext.35	Open/Close Party Window
pleionehotkeytext.36	Open/Close Interface
pleionehotkeytext.37	Auto Battle/Manual Battle
pleionehotkeytext.38	On/Off remove self when targeting
pleionehotkeytext.39	Skill Window
pleionehotkeytext.40	Messenger Window
pleionehotkeytext.41	Use Antidote Potion
pleionehotkeytext.42	Use HP Potion
pleionehotkeytext.43	Use Wound Remedy Potion
pleionehotkeytext.44	Use MP Potion
pleionehotkeytext.45	Use Phoenix Feather
pleionehotkeytext.46	Use Stamina Potion
pleionehotkeytext.47	Eat Food
pleionehotkeytext.48	Message Log Window
pleionehotkeytext.49	Switch tab on the message log window
pleionehotkeytext.50	Toggle the separated tabs on the message log window
pleionehotkeytext.51	Auto POV/Manual POV
pleionehotkeytext.52	Explore using L-Rod
pleionehotkeytext.53	Character Window
pleionehotkeytext.54	View the next tab on the character window
pleionehotkeytext.55	Take Off/Land
pleionehotkeytext.56	Escape Bomb
pleionehotkeytext.57	Action Window
pleionehotkeytext.58	Open/Close Character Name
pleionehotkeytext.59	Mini Map
pleionehotkeytext.60	Speak with Spirit Weapon
pleionehotkeytext.61	Combat Mode/Normal Mode
pleionehotkeytext.62	Zoom out
pleionehotkeytext.63	Zoom in
pleionehotkeytext.64	Toggle On/Off Advanced Glow Effect
pleionehotkeytext.65	Summon 1st Pet
pleionehotkeytext.66	Summon 2nd Pet
pleionehotkeytext.67	Summon 3rd Pet
pleionehotkeytext.68	Summon 4th Pet
pleionehotkeytext.69	Summon 5th Pet
pleionehotkeytext.70	Summon 6th Pet
pleionehotkeytext.71	Summon 7th Pet
pleionehotkeytext.72	Summon 8th Pet
pleionehotkeytext.73	Summon 9th Pet
pleionehotkeytext.74	Summon 10th Pet
pleionehotkeytext.75	Cancel Pet Summon
pleionehotkeytext.76	Pet Inventory
pleionehotkeytext.77	Sit down the Pet
pleionehotkeytext.78	Call the Pet
pleionehotkeytext.79	Pet's Adorable Act
pleionehotkeytext.80	Find Pet Personal Store
pleionehotkeytext.81	Minimize other characters
pleionehotkeytext.82	Switch to Skill Window #6
pleionehotkeytext.83	Switch to Skill Window #7
pleionehotkeytext.84	Record Video
pleionehotkeytext.85	Forward
pleionehotkeytext.86	Reverse
pleionehotkeytext.87	Rotate Left
pleionehotkeytext.88	Rotate Right
pleionehotkeytext.89	Visual Chat
pleionehotkeytext.90	Emergency Escape B+ Bomb
pleionehotkeytext.91	Basic Settings
pleionehotkeytext.92	Vindictus Settings
pleionehotkeytext.93	MapleStory Settings
pleionehotkeytext.94	Dungeon Fighter Online Settings
pleionehotkeytext.95	Dragon Nest Settings
pleionehotkeytext.96	Lineage 1 Settings
pleionehotkeytext.97	Lineage 2 Settings
pleionehotkeytext.98	Aion Settings
pleionehotkeytext.99	World of Warcraft Settings
pleionehotkeytext.100	Customized Settings
pleionehotkeytext.101	Homestead Information Window
pleionelobby_msg.1	Would you like to summon the created animal character?
pleionelobby_msg.2	Failed to summon the created animal character.
pleionelobby_msg.3	Would you like to create a new animal character using the purchased card?
pleionelobby_msg.4	Failed to create a new animal character.\nPlease send a ticket to Customer Support.
pleionelogin.0	휴대폰 인증 데이타 초기화 중입니다.\n잠시 후 로그인하십시오.
pleionelogin.1	인증 중 다른 IP에서 접속을 하였습니다.\n{0} 후에 다시 로그인하십시오.
pleionelogin.2	휴대폰 인증사 또는 이동 통신사 장애로 인하여 휴대폰 인증없이 로그인하였습니다.
pleionelogin.3	Message\n메시지
pleionelogin.4	채널링 로그인을 실패했습니다.
pleionelogin.5	채널링 로그인을 실패했습니다.
pleionelogin.6	서버 오류가 발생했습니다. 잠시 후 다시 시도해주세요.
pleionelogin.7	서버로 잘못된 인자가 전송되었습니다. GM에게 문의하시기 바랍니다.
pleionelogin.8	인증에 실패했습니다. GM에게 문의하시기 바랍니다.
pleionelogin.9	Please log in again later.
pleionelogin.10	휴면계정으로 계정 사용이 정지되었습니다.\n자세한 사항은 2008년 7월 24일자 휴면 계정 안내 공지 및 마비노기 게임 서비스 이용약관을 참고하시기 바라며, \n계정 정지 해제를 원하실 경우 넥슨고객지원센터(Tel: 1588-7701)로 문의하시기 바랍니다.\n감사합니다.
pleionelogin.11	넥슨 비가맹 PC방에서는 로그인을 할 수 없습니다.
pleionelogin.12	넥슨 정기 점검 중에는 PC방에서 로그인을 할 수 없습니다.
pleionelogin.13	You must start the game from the Mabinogi website.
pleionelogin.14	Hacking attempts detected. Your account has been temporarily restricted. \nPlease contact Customer Support to remove this restriction. \nThank you.
pleionelogin.15	Invalid argument.
pleionelogin.16	Invalid ID or password.
pleionelogin.17	Login time has expired.
pleionelogin.18	The Authentication Server is currently under maintenance.
pleionelogin.19	Unsupported location.
pleionelogin.20	Location setting required.
pleionelogin.21	No server information.
pleionelogin.22	IP information does not match.
pleionelogin.23	Web login is currently unavailable.
pleionelogin.24	입력하신 넥슨 아이디에는 여러개의 마비노기 계정이 존재합니다\n\n마비노기 홈페이지에서 이중 하나를 대표 계정으로 설정을 하신 후에\n넥슨 아이디로 로그인이 가능합니다.
pleionelogin.25	넥슨아이디나 암호가 올바르지 않습니다.\n\n한글/영어가 틀리지 않은지,\n대소문자가 올바로 구분되어 입력되었는지\n확인해보세요.
pleionelogin.26	지금 로그인한 컴퓨터는 등록되지 않은 컴퓨터입니다.\n먼저 홈페이지에서 등록해주세요.
pleioneloginstage.1	오류가 발생했습니다. 잠시 후 다시 시도해주세요.
pleioneloginstage.2	보안 오류입니다.
pleioneloginstage.3	Issuer의 ID가 잘못되었습니다.
pleioneloginstage.4	인자가 잘못되었습니다.
pleioneloginstage.5	알 수 없는 오류가 발생했습니다. 잠시 후 다시 시도해주세요..
pleioneloginstage.6	인증서버의 내부오류가 발생하였습니다. 잠시 후 다시 시도해주세요.
pleioneloginstage.7	ID나 비밀번호가 잘못되었습니다. 확인 후 다시 로그인해주세요.
pleioneloginstage.8	이 계정은 블럭된 상태입니다. GM에게 문의하시기 바랍니다.
pleioneloginstage.9	인증 서버가 정기점검중입니다. 공지를 확인하시고 점검이 끝난 후 다시 로그인해주세요.
pleioneloginstage.10	시스템 오류가 발생했습니다. 잠시 후 다시 로그인해주세요.
pleioneloginstage.11	이 IP는 블럭된 상태입니다. GM에게 문의하시기 바랍니다.
pleioneloginstage.12	계정이 잠겨져 있습니다. GM에게 문의하시기 바랍니다.
pleioneloginstage.13	과도한 접속 시도가 이루어졌습니다. GM에게 문의하시기 바랍니다.
pleioneloginstage.14	SMC 인증 방식에 문제가 발생했습니다.
pleioneloginstage.15	보안 오류가 발생했습니다. GM에게 문의하시기 바랍니다.
pleioneloginstage.16	보안 모듈을 읽는데 실패했습니다. 게임을 재설치하시기 바랍니다.
pleioneloginstage.17	보안 모듈을 읽는데 실패했습니다.
pleionemessenger.1	{0} [{1}] has added you to their friend's list.\nDo you accept?
pleionemessenger.2	{0} [{1}]\n has logged in.
pleionemessenger.3	You have received a note\nfrom {0} [{1}]
pleionemessengerbase.1	Blocked
pleionemessengerbase.2	Inviting
pleionemessengerbase.3	Offline
pleionemessengerbase.4	Online
pleionemessengerbase.5	Secret
pleionemessengerbase.6	Out to Lunch
pleionemessengerbase.7	Away
pleionemessengerbase.8	In Combat
pleionemessengerbase.9	Doing Business
pleionemessengerbase.24	Unknown
pleionemessengerbase.25	Recently logged on
pleionemessengerbase.26	Logged on {0} mins ago
pleionemessengerbase.27	Login time unknown
pleionemessengerbase.28	Logged on {0} hrs ago
pleionemessengerbase.29	Logged on {0} days ago
pleionemessengerbase.30	Logged on {0} weeks ago
pleionemessengerbase.31	Has not logged in for over {0} weeks
pleionemessengerclient_impl.1	ETC.
pleionemessengerclient_impl.2	This user has already been registered as a friend.
pleionemessengerclient_impl.3	Unable to locate the user. Please double-check the character name and the server.
pleionemessengerclient_impl.4	You cannot add any more friends.
pleionemessengerclient_impl.5	You cannot add a character from your own account on your friend's list.
pleionemessengerclient_impl.6	You cannot add your pet character to the friend's list.
pleionemessengerclient_impl.7	Failed to add th euser as a friend for unknown reasons.\nTry again later, and if the problem persists, please report this issue.
pleionemessengerclient_impl.8	The note has been sent.
pleionemessengerclient_impl.9	Unable to find the recipient.
pleionemessengerclient_impl.10	Unable to send the note. Please try again later.
pleionemessengerclient_impl.11	Unable to obtain the guild member's information.
pleionemessengerclient_impl.12	Blacklist
pleionemessengerclient_impl.13	상대방의 친구목록이 가득 차서 추가할 수 없습니다.
pleionemessengersession.1	{0} has left the room.
pleionemessengersession.2	{0} has entered the room.
pleionemessengersession.3	{0} [{1}] says\n
pleionenexonmsgr.1	An error has occurred during authorization. Unable to connect to SSO authorization server.
pleionenexonmsgr.2	Authorization service for Nexon login is under maintenance.
pleionenexonmsgr.3	Blocked IP.
pleionenexonmsgr.4	Blocked by administrator.
pleionenexonmsgr.5	Passport has encountered an error, and you can't log into the game.
pleionenexonmsgr.6	The ID does not exist.
pleionenexonmsgr.7	Incorrect password.
pleionenexonmsgr.8	Your password has expired. Change your password, and re-log into the game.
pleionenexonmsgr.9	E-mail requires to be verified. Please verify your e-mail, and re-log into the game.
pleionenexonmsgr.10	Blocked IP.
pleionenexonmsgr.11	Change your password, and re-log into the game.
pleionenexonmsgr.12	An error occurred during initializing messenger module. Unable to connect to the server.
pleionenexonmsgr.13	Failed to initialize messenger module.
pleionenexonmsgr.14	Nexon Authorization has encountered an error.
pleioneusecard.1	Failed to create a new character.\n\n* You may create up to 20 characters per race.
pleioneusecard.2	Failed to create a new character.\n\n* Information about your character card cannot be found.\n*Please take a screenshot of the current screen and submit a ticket to Customer Support.
pleioneusecard2render.1	{0} Server
pleioneusecardrender.1	{0} Server
plw_achievement.1	'{0}' Journal Acquisition has been reset.
plw_achievement.2	{0} in Mabinogi
plw_actioneffect.1	The Seal has happily eaten the fish.
plw_actioneffect.2	You've become small enough to fit through the small hole.
plw_actioneffect.3	You have returned to your normal size because the effects of the mini potion wore off.
plw_actioneffect.4	Royal Castle Banquet Participation Experience +{0} EXP
plw_actioneffect.5	You received a Lucky Bonus (Luck {0}).
plw_actioneffect.6	You received a Huge Lucky Bonus (Luck {0})!
plw_actionmove.1	The skill has been canceled because you are out of range.
plw_actionmsg.1	You have requested {0} for a summon.\nWaiting for his/her response…
plw_actionmsg.2	Cancel
plw_actionmsg.3	Cannot find {0}.
plw_actionmsg.4	Failed to request {0} for a summon.
plw_actionmsg.5	I’ve successfully summoned my friend.
plw_actionmsg.6	The summon request has been denied.
plw_actionmsg.7	I’ve stopped the summoning of my friend.
plw_actionmsg.8	{0} has requested you for a summon.\nWould you like to accept?
plw_actionmsg.9	He/she has canceled my summon.
plw_actionmsg.10	AP {0}{가} increased.
plw_advertisecomponent.0	You have received {0}'s flyer.
plw_advertisecomponent.1	This flyer has expired.
plw_advertisecomponent.2	This is currently not available.
plw_airballoon.1	A hot air balloon that floats in the sky. No worries if you're not the one who created the hot air balloon! You can always get on it simply by joining the party belonging to the person who created the balloon.
plw_aviationcomponent.1	I’d better increase my altitude if I want to move.
plw_aviationcomponent.2	I can’t move any further in the current direction.
plw_aviationcomponent.3	You have canceled moving to the waypoint.
plw_aviationcomponent.4	Cannot fly in this area; your waypoints will be reset shortly.
plw_aviationcomponent.5	You are restricted from flying in this area.
plw_aviationcomponent.6	You are restricted from landing and taking off from this area.
plw_aviationcomponent.7	Cannot take off during a break.
plw_aviationcomponent.8	You are restricted from landing and taking off from this area.
plw_aviationcomponent.9	You can only land when your altitude is 15m or lower.
plw_aviationcomponent.10	Please press \'V\' to land.
plw_aviationcomponent.11	Altitude: %.1fm
plw_aviationcomponent.12	Altitude: {0}m
plw_aviationcomponent.13	Press <hotkey name=\"TakeOff\"/> take off.
plw_bankmgr.1	Please re-try in {0} sec.
plw_bankmgr.2	The bank has not opened properly.
plw_bankmgr.3	The password is incorrect.
plw_bankmgr.4	An error has occurred.
plw_bankmgr.5	The password is incorrect.
plw_banquet.1	{0} second(s)
plw_banquet.2	approximately {0} minute(s)
plw_banquet.3	{0} minute(s)
plw_banquet.4	the Royal Castle Banquet will start.
plw_banquet.5	The Royal Court Banquet will start in {0:n minute(s) and m second(s)}
plw_banquet.6	The Royal Court Banquet will end soon.
plw_banquet.7	The Royal Court Banquet will end in {0:n minute(s) and m second(s)}
plw_banquet.8	Please select the dish you want to serve. You can only serve a high level dish.
plw_banquet.9	Leave a thank you for {0}.\nWill be sent to {0} as a Note.
plw_banquet.10	Table
plw_banquet.11	It's full of food provided for the Royal Castle.\nDo you wish to eat?
plw_banquet.12	Eat
plw_banquet.13	Serve Food
plw_banquet.14	Cancel
plw_banquet.15	You've served some food.
plw_banquet.16	There seems to be no more food left.
plw_banquet.17	You're still quite full. You should try eating again later.
plw_banquet.18	The table theme has been selected!\nA sign has been successfully put up.
plw_banquet.19	The table theme has been deleted!
plw_banquet.20	The selected theme is already being used at a different table.\nPlease change the theme for this table.
plw_banquet.21	You can't use that as the theme.
plw_banquet.22	Theme : {0}\nProposer : {1}\n\nTheme can be changed {2}.
plw_banquet.23	You cannot delete a theme that you didn't select.
plw_banquet.24	You can't delete the theme.
